,CommG,Density,Albedo,plot,Site.code,bulkYear,combCond,combCondPlot,x,y,genotypeID
114,HighBoise,hi,white,3,Adler17,2020,hi white HighBoise,hi white HighBoise 3,7,8,g17
115,HighBoise,hi,white,5,Adler17,2020,hi white HighBoise,hi white HighBoise 5,1,6,g17
116,LowBoise,lo,black,5,Baughman3,2020,lo black LowBoise,lo black LowBoise 5,1,4,g20
117,LowBoise,lo,black,1,Baughman3,2020,lo black LowBoise,lo black LowBoise 1,15,3,g20
118,LowBoise,lo,black,10,Baughman3,2020,lo black LowBoise,lo black LowBoise 10,10,5,g20
119,LowBoise,lo,black,8,Baughman3,2020,lo black LowBoise,lo black LowBoise 8,16,1,g20
120,LowBoise,lo,black,7,Baughman3,2020,lo black LowBoise,lo black LowBoise 7,9,2,g20
121,LowBoise,lo,white,10,Baughman3,2020,lo white LowBoise,lo white LowBoise 10,18,2,g20
122,LowBoise,lo,white,8,Baughman3,2020,lo white LowBoise,lo white LowBoise 8,3,5,g20
123,LowBoise,lo,white,3,Baughman3,2020,lo white LowBoise,lo white LowBoise 3,6,3,g20
124,LowBoise,lo,white,1,Baughman3,2020,lo white LowBoise,lo white LowBoise 1,6,3,g20
125,LowBoise,lo,white,9,Baughman3,2020,lo white LowBoise,lo white LowBoise 9,6,1,g20
126,LowBoise,hi,black,10,Baughman3,2020,hi black LowBoise,hi black LowBoise 10,7,8,g20
127,LowBoise,hi,black,1,Baughman3,2020,hi black LowBoise,hi black LowBoise 1,6,10,g20
128,LowBoise,hi,black,7,Baughman3,2020,hi black LowBoise,hi black LowBoise 7,8,1,g20
129,LowBoise,hi,black,5,Baughman3,2020,hi black LowBoise,hi black LowBoise 5,6,5,g20
130,LowBoise,hi,black,6,Baughman3,2020,hi black LowBoise,hi black LowBoise 6,4,9,g20
131,LowBoise,hi,white,2,Baughman3,2020,hi white LowBoise,hi white LowBoise 2,6,2,g20
132,LowBoise,hi,white,4,Baughman3,2020,hi white LowBoise,hi white LowBoise 4,1,2,g20
133,LowBoise,hi,white,7,Baughman3,2020,hi white LowBoise,hi white LowBoise 7,4,2,g20
134,LowBoise,hi,white,5,Baughman3,2020,hi white LowBoise,hi white LowBoise 5,6,7,g20
135,LowBoise,hi,white,1,Baughman3,2020,hi white LowBoise,hi white LowBoise 1,2,9,g20
136,HighBoise,lo,black,7,Baughman3,2020,lo black HighBoise,lo black HighBoise 7,3,4,g20
137,HighBoise,lo,black,5,Baughman3,2020,lo black HighBoise,lo black HighBoise 5,8,1,g20
138,HighBoise,lo,black,8,Baughman3,2020,lo black HighBoise,lo black HighBoise 8,18,5,g20
139,HighBoise,lo,black,2,Baughman3,2020,lo black HighBoise,lo black HighBoise 2,1,3,g20
140,HighBoise,lo,black,3,Baughman3,2020,lo black HighBoise,lo black HighBoise 3,10,1,g20
141,HighBoise,lo,white,9,Baughman3,2020,lo white HighBoise,lo white HighBoise 9,18,4,g20
142,HighBoise,lo,white,10,Baughman3,2020,lo white HighBoise,lo white HighBoise 10,9,4,g20
143,HighBoise,lo,white,2,Baughman3,2020,lo white HighBoise,lo white HighBoise 2,18,5,g20
144,HighBoise,lo,white,3,Baughman3,2020,lo white HighBoise,lo white HighBoise 3,10,2,g20
145,HighBoise,lo,white,6,Baughman3,2020,lo white HighBoise,lo white HighBoise 6,12,3,g20
146,HighBoise,hi,black,3,Baughman3,2020,hi black HighBoise,hi black HighBoise 3,5,9,g20
147,HighBoise,hi,black,9,Baughman3,2020,hi black HighBoise,hi black HighBoise 9,3,4,g20
148,HighBoise,hi,black,1,Baughman3,2020,hi black HighBoise,hi black HighBoise 1,8,6,g20
149,HighBoise,hi,black,8,Baughman3,2020,hi black HighBoise,hi black HighBoise 8,2,9,g20
150,HighBoise,hi,black,7,Baughman3,2020,hi black HighBoise,hi black HighBoise 7,9,10,g20
151,HighBoise,hi,white,3,Baughman3,2020,hi white HighBoise,hi white HighBoise 3,5,7,g20
152,HighBoise,hi,white,1,Baughman3,2020,hi white HighBoise,hi white HighBoise 1,7,8,g20
153,HighBoise,hi,white,10,Baughman3,2020,hi white HighBoise,hi white HighBoise 10,9,1,g20
154,HighBoise,hi,white,8,Baughman3,2020,hi white HighBoise,hi white HighBoise 8,7,8,g20
155,LowBoise,lo,black,6,Baughman2,2020,lo black LowBoise,lo black LowBoise 6,17,2,g21
156,LowBoise,lo,black,2,Baughman2,2020,lo black LowBoise,lo black LowBoise 2,2,3,g21
157,LowBoise,lo,black,1,Baughman2,2020,lo black LowBoise,lo black LowBoise 1,4,5,g21
158,LowBoise,lo,black,5,Baughman2,2020,lo black LowBoise,lo black LowBoise 5,18,5,g21
159,LowBoise,lo,black,8,Baughman2,2020,lo black LowBoise,lo black LowBoise 8,12,2,g21
160,LowBoise,lo,black,7,Baughman2,2020,lo black LowBoise,lo black LowBoise 7,11,2,g21
161,LowBoise,lo,black,4,Baughman2,2020,lo black LowBoise,lo black LowBoise 4,14,1,g21
162,LowBoise,lo,white,5,Baughman2,2020,lo white LowBoise,lo white LowBoise 5,15,1,g21
163,LowBoise,lo,white,3,Baughman2,2021,lo white LowBoise,lo white LowBoise 3,5,5,g21
164,LowBoise,lo,white,10,Baughman2,2020,lo white LowBoise,lo white LowBoise 10,5,5,g21
165,LowBoise,lo,white,8,Baughman2,2020,lo white LowBoise,lo white LowBoise 8,17,4,g21
166,LowBoise,lo,white,2,Baughman2,2020,lo white LowBoise,lo white LowBoise 2,1,5,g21
167,LowBoise,lo,white,4,Baughman2,2020,lo white LowBoise,lo white LowBoise 4,8,2,g21
168,LowBoise,lo,white,1,Baughman2,2020,lo white LowBoise,lo white LowBoise 1,18,5,g21
169,LowBoise,hi,black,4,Baughman2,2020,hi black LowBoise,hi black LowBoise 4,9,9,g21
170,LowBoise,hi,black,1,Baughman2,2020,hi black LowBoise,hi black LowBoise 1,9,10,g21
171,LowBoise,hi,black,6,Baughman2,2020,hi black LowBoise,hi black LowBoise 6,8,2,g21
172,LowBoise,hi,black,2,Baughman2,2020,hi black LowBoise,hi black LowBoise 2,2,2,g21
173,LowBoise,hi,black,9,Baughman2,2020,hi black LowBoise,hi black LowBoise 9,2,2,g21
174,LowBoise,hi,black,7,Baughman2,2020,hi black LowBoise,hi black LowBoise 7,3,7,g21
175,LowBoise,hi,black,10,Baughman2,2020,hi black LowBoise,hi black LowBoise 10,8,9,g21
176,LowBoise,hi,white,10,Baughman2,2020,hi white LowBoise,hi white LowBoise 10,7,8,g21
177,LowBoise,hi,white,9,Baughman2,2020,hi white LowBoise,hi white LowBoise 9,8,9,g21
178,LowBoise,hi,white,4,Baughman2,2020,hi white LowBoise,hi white LowBoise 4,4,8,g21
179,LowBoise,hi,white,3,Baughman2,2020,hi white LowBoise,hi white LowBoise 3,6,8,g21
180,LowBoise,hi,white,1,Baughman2,2020,hi white LowBoise,hi white LowBoise 1,3,6,g21
181,LowBoise,hi,white,7,Baughman2,2020,hi white LowBoise,hi white LowBoise 7,1,3,g21
182,HighBoise,lo,black,7,Baughman2,2020,lo black HighBoise,lo black HighBoise 7,18,2,g21
183,HighBoise,lo,black,5,Baughman2,2020,lo black HighBoise,lo black HighBoise 5,12,4,g21
184,HighBoise,lo,black,2,Baughman2,2020,lo black HighBoise,lo black HighBoise 2,13,4,g21
185,HighBoise,lo,black,1,Baughman2,2020,lo black HighBoise,lo black HighBoise 1,7,4,g21
186,HighBoise,lo,black,9,Baughman2,2020,lo black HighBoise,lo black HighBoise 9,17,2,g21
187,HighBoise,lo,black,6,Baughman2,2021,lo black HighBoise,lo black HighBoise 6,14,5,g21
188,HighBoise,lo,white,7,Baughman2,2020,lo white HighBoise,lo white HighBoise 7,18,4,g21
189,HighBoise,lo,white,4,Baughman2,2020,lo white HighBoise,lo white HighBoise 4,8,2,g21
