site,block,density_long,density,albedo,source,growout_yr,growout_loc,,,X,Y,genotype,genotype_batch
Cheyenne,1,high,hi,black,Schupp04,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,7,6,g87,87_Logan
Cheyenne,1,high,hi,black,Wilcox02,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,8,6,g95,95_Logan
Cheyenne,1,high,hi,black,Downs02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,6,g43,43_Reno
Cheyenne,1,high,hi,black,Chynoweth08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,6,g100,100_Reno
Cheyenne,1,high,hi,black,Chambers02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,7,g30,30_Reno
Cheyenne,1,high,hi,black,Pyle009,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,7,g76,76_Reno
Cheyenne,1,high,hi,black,Adler13,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,7,g14,14_Reno
Cheyenne,1,high,hi,black,Adler09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,7,g11,11_Reno
Cheyenne,1,high,hi,black,Chambers07,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,7,g35,35_Reno
Cheyenne,1,high,hi,black,Symstad4,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,7,g92,92_Reno
Cheyenne,1,high,hi,black,Copeland01,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,7,7,g38,38_Logan
Cheyenne,1,high,hi,black,Chynoweth08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,7,g100,100_Reno
Cheyenne,1,high,hi,black,Chambers05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,7,g33,33_Reno
Cheyenne,1,high,hi,black,Pyle009,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,7,g76,76_Reno
Cheyenne,1,high,hi,black,Chambers08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,8,g36,36_Reno
Cheyenne,1,high,hi,black,Pyle015,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,8,g79,79_Reno
Cheyenne,1,high,hi,black,Leger 1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,8,g65,65_Reno
Cheyenne,1,high,hi,black,Hufft1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,8,g52,52_Reno
Cheyenne,1,high,hi,black,JackieOtt7,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,8,g58,58_Reno
Cheyenne,1,high,hi,black,Fleishman_01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,8,g45,45_Reno
Cheyenne,1,high,hi,black,Downs02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,8,g43,43_Reno
Cheyenne,1,high,hi,black,AAFC09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,8,g6,6_Reno
Cheyenne,1,high,hi,black,Germino BOP 01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,8,g104,104_Reno
Cheyenne,1,high,hi,black,Chynoweth03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,8,g97,97_Reno
Cheyenne,1,high,hi,black,Schupp05,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,1,9,g88,88_Logan
Cheyenne,1,high,hi,black,Schupp05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,9,g88,88_Reno
