plantID,site,year,density,albedo,block,plot,x,y,genotype,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest
SS2022_607,SS,2022,hi,black,2,3,2,3,34,Y,138,FG,Y,NA,Y,FP,1,0.08,0.14,40,NA
SS2022_626,SS,2022,hi,black,2,3,2,4,30,Y,138,FG,Y,NA,Y,FP,2,0.12,0.32,107,NA
SS2022_627,SS,2022,hi,black,2,3,2,5,26,Y,165,FG,Y,NA,Y,FP,2,0.16,0.26,76,NA
SS2022_628,SS,2022,hi,black,2,3,2,6,51,Y,151,FG,Y,NA,Y,FP,1,0.11,0.17,34,NA
SS2022_629,SS,2022,hi,black,2,3,2,7,83,Y,138,FG,Y,NA,Y,FP,1,0.04,0.13,33,NA
SS2022_631,SS,2022,hi,black,2,3,2,9,95,Y,138,FG,Y,NA,Y,BS_FP_D,2,0.07,0.04,17,NA
SS2022_633,SS,2022,hi,black,2,3,3,1,77,Y,138,FG,Y,NA,Y,FP_UNK,3,0.32,0.54,117,NA
SS2022_614,SS,2022,hi,black,2,3,3,10,97,Y,138,FG,Y,NA,Y,FP,2,0.11,0.19,59,NA
SS2022_634,SS,2022,hi,black,2,3,3,2,57,Y,138,FG,Y,NA,Y,FP,1,0.05,0.07,22,NA
SS2022_696,SS,2022,hi,black,2,3,3,3,58,Y,138,FG,Y,NA,Y,FP_D,1,0.03,0.06,25,NA
SS2022_697,SS,2022,hi,black,2,3,3,4,13,Y,151,FG,Y,NA,Y,FP,1,0.07,0.07,21,NA
SS2022_698,SS,2022,hi,black,2,3,3,5,51,Y,138,FG,Y,NA,Y,FP,2,0.26,0.47,124,NA
SS2022_699,SS,2022,hi,black,2,3,3,6,35,Y,138,FG,Y,resurrection,Y,FG_FP,4,0.17,0.26,76,NA
SS2022_604,SS,2022,hi,black,2,3,3,9,82,Y,138,FG,Y,resurrection,Y,FP,1,0.02,0.05,15,NA
SS2022_642,SS,2022,hi,black,2,3,4,10,9,Y,138,FG,Y,NA,Y,FG_FP,4,0.17,0.33,87,NA
SS2022_602,SS,2022,hi,black,2,3,4,2,24,Y,138,FG,Y,NA,Y,FP,2,0.19,0.39,98,NA
SS2022_635,SS,2022,hi,black,2,3,4,3,7,Y,151,FG,Y,NA,Y,FP,1,0.07,0.16,50,NA
SS2022_636,SS,2022,hi,black,2,3,4,4,84,Y,151,FG,Y,NA,Y,FP,2,0.08,0.21,62,NA
SS2022_638,SS,2022,hi,black,2,3,4,6,44,Y,165,FG,Y,NA,Y,FP,1,0.09,0.14,30,NA
SS2022_639,SS,2022,hi,black,2,3,4,7,88,Y,138,FG,Y,NA,Y,FP,1,0.04,0.06,18,NA
SS2022_643,SS,2022,hi,black,2,3,5,1,55,Y,138,FG,Y,NA,Y,FP,1,0.04,0.12,36,NA
SS2022_652,SS,2022,hi,black,2,3,5,10,89,Y,151,FG,Y,NA,Y,FP,1,0.12,0.26,76,NA
SS2022_645,SS,2022,hi,black,2,3,5,3,92,Y,138,FG,Y,frost_heave,Y,FP,1,0.08,0.18,45,NA
SS2022_646,SS,2022,hi,black,2,3,5,4,5,Y,165,FG,Y,NA,Y,FP,1,0.03,0.03,7,NA
SS2022_650,SS,2022,hi,black,2,3,5,8,96,Y,165,FG,Y,NA,Y,FP,1,0.03,0.06,22,NA
SS2022_651,SS,2022,hi,black,2,3,5,9,84,Y,151,FG,Y,NA,Y,FP,1,0.01,0.03,10,NA
