"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_161",NA,74,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_181",NA,74,101,NA,-2,-9,NA,NA,NA,NA
"CH_2022_110",NA,74,148,NA,-2,-16,NA,NA,NA,NA
"CH_2022_130",NA,74,148,NA,-1,-12,NA,NA,NA,NA
"CH_2022_150",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_170",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_111",NA,74,NA,NA,-2,-13,NA,NA,NA,NA
"CH_2022_131",NA,74,148,NA,-2,-36,87,NA,NA,NA
"CH_2022_151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_171",NA,74,87,101,-1,NA,NA,NA,NA,NA
"CH_2022_191",NA,87,114,NA,-1,NA,87,NA,NA,NA
"CH_2022_112",NA,74,148,NA,-1,-28,NA,NA,NA,NA
"CH_2022_132",NA,74,148,NA,-2,-5,87,NA,NA,NA
"CH_2022_152",NA,74,129,NA,-2,-10,NA,NA,NA,NA
"CH_2022_172",NA,74,NA,NA,NA,-17,NA,NA,NA,NA
"CH_2022_192",NA,74,NA,NA,-1,-4,NA,NA,NA,NA
"CH_2022_113",NA,74,148,NA,NA,-4,87,NA,NA,NA
"CH_2022_133",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_153",NA,74,NA,NA,NA,NA,87,NA,NA,NA
"CH_2022_173",NA,74,NA,NA,NA,-4,87,NA,NA,NA
"CH_2022_193",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_114",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_134",NA,74,129,NA,-1,-2,87,NA,NA,NA
"CH_2022_154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_174",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_194",NA,74,129,NA,-1,-3,NA,NA,NA,NA
"CH_2022_115",NA,74,NA,NA,-1,-9,NA,NA,NA,NA
"CH_2022_135",NA,74,148,NA,NA,-5,NA,NA,NA,NA
"CH_2022_155",NA,74,114,NA,-1,-18,NA,NA,NA,NA
"CH_2022_175",NA,74,114,NA,-1,-3,NA,NA,NA,NA
"CH_2022_195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_116",NA,74,NA,NA,NA,-7,87,NA,NA,NA
"CH_2022_136",NA,74,148,NA,NA,-11,NA,NA,NA,NA
"CH_2022_156",NA,74,101,NA,NA,-18,NA,NA,NA,NA
"CH_2022_176",NA,74,101,NA,NA,-1,NA,NA,NA,NA
"CH_2022_196",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_117",NA,74,NA,NA,-1,NA,87,NA,NA,NA
"CH_2022_137",NA,74,NA,NA,NA,-15,NA,NA,NA,NA
"CH_2022_157",NA,74,148,NA,-1,-14,NA,NA,NA,NA
"CH_2022_177",NA,74,148,NA,-1,-3,87,NA,NA,NA
"CH_2022_197",NA,74,148,NA,NA,-13,NA,NA,NA,NA
"CH_2022_118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_138",NA,74,NA,NA,NA,-6,87,NA,NA,NA
"CH_2022_158",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_178",NA,74,101,NA,NA,-3,NA,NA,NA,NA
"CH_2022_198",NA,74,148,NA,-1,-9,NA,NA,NA,NA
"CH_2022_119",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_139",NA,74,148,NA,-1,-10,NA,NA,NA,NA
"CH_2022_159",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_179",NA,74,101,NA,-2,-28,NA,NA,NA,NA
"CH_2022_199",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_102",NA,74,148,NA,-2,-20,NA,NA,NA,NA
"CH_2022_122",NA,74,114,NA,-1,-18,NA,NA,NA,NA
"CH_2022_142",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
