block,plot,x,y,genotype,growout,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,first_flower,live,v,herbivory,frost_heave,note_standard
3,2,1,2,32,2020,2023-07-17,low,white,Y,FB,N,1,0.05,0.18,NA,SS2023_724,SS,2023,198,Y,FB,NA,NA,NA
3,2,1,3,92,2020,2023-07-10,low,white,Y,FP,Y,3,0.27,0.52,NA,SS2023_725,SS,2023,191,Y,FP,NA,NA,NA
3,2,1,5,91,2020,2023-07-10,low,white,Y,FP,Y,4,0.39,0.77,NA,SS2023_726,SS,2023,191,Y,FP,NA,NA,NA
3,2,2,1,53,2020,2023-07-04,low,white,Y,FG,Y,3,0.12,0.17,smut,SS2023_727,SS,2023,185,Y,FG,NA,NA,NA
3,2,2,2,81,2020,2023-07-17,low,white,Y,FP,N,5,0.95,2.01,NA,SS2023_729,SS,2023,198,Y,FP,NA,NA,NA
1,1,8,3,84,2020,2023-07-10,high,black,Y,FP,Y,1,0.012,0.02,NA,SS2023_73,SS,2023,191,Y,FP,NA,NA,NA
3,2,4,4,45,2020,2023-07-17,low,white,Y,FP,N,6,0.66,1.17,smut,SS2023_741,SS,2023,198,Y,FP,NA,NA,NA
3,2,4,5,7,2020,2023-07-17,low,white,Y,FP,N,5,0.82,1.38,NA,SS2023_742,SS,2023,198,Y,FP,NA,NA,NA
3,2,5,1,6,2020,2023-07-04,low,white,Y,FG,Y,5,0.5,0.55,smut,SS2023_743,SS,2023,185,Y,FG,NA,NA,NA
3,2,5,2,64,2020,2023-07-04,low,white,Y,FG,Y,3,0.22,0.24,smut,SS2023_744,SS,2023,185,Y,FG,NA,NA,NA
3,2,6,2,71,2020,2023-07-17,low,white,Y,FP,N,5,0.64,1.397,NA,SS2023_749,SS,2023,198,Y,FP,NA,NA,NA
3,2,7,2,2,2020,2023-07-17,low,white,Y,FG,Y,7,1.72,1.14,NA,SS2023_754,SS,2023,198,Y,FG,NA,NA,NA
3,2,8,4,90,2020,2023-07-10,low,white,Y,FP,Y,4,0.69,0.9,NA,SS2023_761,SS,2023,191,Y,FP,NA,NA,NA
3,2,9,2,44,2020,2023-07-17,low,white,Y,FP,N,6,0.65,1.35,NA,SS2023_764,SS,2023,198,Y,FP,NA,NA,NA
3,2,12,2,35,2020,2023-07-17,low,white,Y,FP,N,3,0.31,0.73,NA,SS2023_777,SS,2023,198,Y,FP,NA,NA,NA
3,2,12,3,18,2022,2023-07-10,low,white,Y,FP,Y,2,0.15,0.29,NA,SS2023_778,SS,2023,191,Y,FP,NA,NA,NA
3,2,12,4,1,2020,2023-07-17,low,white,Y,FP,N,8,2.2,3.97,NA,SS2023_779,SS,2023,198,Y,FP,NA,NA,NA
3,2,13,2,103,2020,2023-07-04,low,white,Y,FB,Y,1,0.027,0.039,NA,SS2023_782,SS,2023,185,Y,FB,NA,NA,NA
3,2,13,5,57,2020,2023-07-17,low,white,Y,FB,N,1,0.011,0.02,smut,SS2023_785,SS,2023,198,Y,FB,NA,NA,NA
3,2,15,1,28,2020,2023-07-04,low,white,Y,FG,Y,6,0.075,0.085,smut,SS2023_791,SS,2023,185,Y,FG,NA,NA,NA
3,2,16,2,87,2021,2023-07-17,low,white,Y,FP,N,2,0.113,0.417,NA,SS2023_797,SS,2023,198,Y,FP,NA,NA,NA
3,3,2,5,65,2020,2023-07-04,high,black,Y,FP,Y,1,0.041,0.061,NA,SS2023_816,SS,2023,185,Y,FP,NA,NA,NA
3,3,3,5,6,2020,2023-07-04,high,black,Y,FP,Y,1,0.011,0.019,NA,SS2023_841,SS,2023,185,Y,FP,NA,NA,NA
3,3,4,4,2,2020,2023-06-14,high,black,Y,FG,Y,3,0.053,0.016,smut,SS2023_850,SS,2023,165,Y,FG,NA,NA,NA
3,4,9,1,71,2020,2023-07-17,low,black,Y,FG,N,8,1.4,0.95,NA,SS2023_900,SS,2023,198,Y,FG,NA,NA,NA
3,4,9,4,19,2020,2023-07-10,low,black,Y,FP,Y,5,0.4,0.68,NA,SS2023_903,SS,2023,191,Y,FP,NA,NA,NA
3,4,9,5,96,2020,2023-07-10,low,black,Y,FP,Y,8,1.04,1.04,NA,SS2023_904,SS,2023,191,Y,FP,NA,NA,NA
3,4,10,2,55,2020,2023-07-17,low,black,Y,FG,N,3,0.4,0.38,NA,SS2023_906,SS,2023,198,Y,FG,NA,NA,NA
3,4,4,2,57,2020,2023-07-17,low,black,Y,FG,N,11,1.5,2.14,NA,SS2023_916,SS,2023,198,Y,FG,NA,NA,NA
3,4,5,1,49,2020,2023-07-10,low,black,Y,FP,Y,15,1.2,1.51,NA,SS2023_920,SS,2023,191,Y,FP,NA,NA,NA
3,4,5,3,52,2020,2023-07-17,low,black,Y,FP,N,11,1.83,2.28,NA,SS2023_922,SS,2023,198,Y,FP,NA,NA,NA
3,4,5,5,84,2020,2023-07-10,low,black,Y,FP,Y,7,0.63,1.08,NA,SS2023_924,SS,2023,191,Y,FP,NA,NA,NA
3,4,6,4,93,2021,2023-07-10,low,black,Y,FP,Y,7,0.35,0.33,NA,SS2023_928,SS,2023,191,Y,FP,NA,NA,NA
3,4,6,5,44,2020,2023-07-17,low,black,Y,FP,N,11,1.06,2.22,NA,SS2023_929,SS,2023,198,Y,FP,NA,NA,NA
3,4,7,5,100,2020,2023-07-17,low,black,Y,FP,N,5,0.42,0.61,NA,SS2023_934,SS,2023,198,Y,FP,NA,NA,NA
3,4,8,2,89,2020,2023-07-10,low,black,Y,FP,Y,15,3.9,3.75,NA,SS2023_936,SS,2023,191,Y,FP,NA,NA,NA
3,4,12,4,6,2020,2023-07-17,low,black,Y,FG,N,5,0.79,0.23,NA,SS2023_939,SS,2023,198,Y,FG,NA,NA,NA
3,4,12,5,69,2020,2023-07-10,low,black,Y,FP,Y,8,0.71,0.92,NA,SS2023_940,SS,2023,191,Y,FP,NA,NA,NA
3,4,15,2,77,2020,2023-07-10,low,black,Y,FP,Y,18,2.85,2.33,NA,SS2023_952,SS,2023,191,Y,FP,NA,NA,NA
4,1,11,2,25,2020,2023-07-17,low,white,Y,FP,N,4,1.21,2.518,NA,SS2023_963,SS,2023,198,Y,FP,NA,NA,NA
4,1,11,4,100,2020,2023-07-10,low,white,Y,FP,Y,7,0.68,1.02,NA,SS2023_965,SS,2023,191,Y,FP,NA,NA,NA
4,1,1,5,45,2020,2023-07-17,low,white,Y,FP,N,6,0.64,1.83,NA,SS2023_973,SS,2023,198,Y,FP,NA,NA,NA
4,1,2,4,12,2020,2023-07-10,low,white,Y,FP,Y,7,0.82,1,NA,SS2023_977,SS,2023,191,Y,FP,NA,NA,NA
4,1,3,1,8,2020,2023-07-10,low,white,Y,FP,Y,2,0.053,0.18,NA,SS2023_979,SS,2023,191,Y,FP,NA,NA,NA
4,1,2,3,68,2020,2023-07-10,low,white,Y,FP,Y,3,0.22,0.45,NA,SS2023_980,SS,2023,191,Y,FP,NA,NA,NA
