"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_149",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_150",NA,-21,NA,NA,-2,NA,NA,NA,NA,NA
"Boise2022_151",NA,-21,180,NA,NA,NA,NA,NA,NA,NA
"Boise2022_152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_153",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_154",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_155",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_157",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_161",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_162",NA,-21,NA,NA,-1,-9,NA,NA,NA,NA
"Boise2022_163",NA,NA,NA,NA,NA,NA,NA,-21,NA,NA
"Boise2022_164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_165",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_167",NA,-21,NA,NA,NA,-13,NA,NA,NA,NA
"Boise2022_168",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_169",NA,-21,NA,NA,NA,-6,NA,NA,NA,NA
"Boise2022_170",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_171",NA,96,143,157,NA,NA,NA,NA,NA,NA
"Boise2022_172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_174",NA,96,143,157,-1,NA,NA,NA,NA,NA
"Boise2022_175",NA,-21,143,NA,-3,-15,NA,NA,NA,NA
"Boise2022_176",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_178",NA,96,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_179",NA,-21,NA,NA,NA,-14,NA,NA,NA,NA
"Boise2022_180",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_184",NA,-21,96,115,NA,NA,NA,NA,NA,NA
"Boise2022_185",NA,-21,143,NA,-1,NA,NA,NA,NA,NA
"Boise2022_186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_188",NA,-21,NA,NA,NA,-5,NA,NA,NA,NA
"Boise2022_189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_190",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_191",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_192",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_193",NA,-21,180,NA,NA,NA,NA,NA,NA,NA
"Boise2022_194",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_197",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_198",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
