"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1014",171,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1014",187,"N",NA,NA,NA,"N","D"
"CH_2023_1014",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1015",101,"N",NA,NA,NA,"N","D"
"CH_2023_1015",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1015",129,"N",NA,NA,NA,"N","D"
"CH_2023_1015",142,"N",NA,NA,NA,"N","D"
"CH_2023_1015",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1015",171,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1015",187,"N",NA,NA,NA,"N","D"
"CH_2023_1015",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1016",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1016",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1016",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1016",142,"N",NA,NA,NA,"N","D"
"CH_2023_1016",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1016",171,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1016",187,"N",NA,NA,NA,"N","D"
"CH_2023_1016",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1017",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1017",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1017",129,"Y","V3",NA,NA,"N","D, ANTHILL"
"CH_2023_1017",142,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1017",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1017",171,"N",NA,NA,NA,"N","D"
"CH_2023_1017",187,"N",NA,NA,NA,"N","D"
"CH_2023_1017",199,"N",NA,NA,NA,"N","D"
"CH_2023_1018",101,"Y","V3",NA,NA,"N","E"
"CH_2023_1018",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_1018",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1018",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1018",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1018",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1018",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1018",199,"Y","FG",NA,NA,"N","E"
"CH_2023_1019",101,"Y","V2",NA,NA,"N","D"
