site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
Urza1,-119.34,40.35,31,12.850000000000023,10.700000000000001,0.29900000095367435,872.9000000000001,32.55000000000001,-3.1499999999999773,35.7,-3.1499999999999773,24.05000000000001,24.350000000000023,1.9500000000000455,175.20000000000002,22.200000000000003,4.3,38.900000000000006,62.900000000000006,18.6,23.400000000000002,58
Chambers04,-117.63,41.31,32,10.950000000000045,12.200000000000001,0.3069999933242798,954.6,32.55000000000001,-7.149999999999977,39.7,-7.149999999999977,23.05000000000001,23.55000000000001,-1.2499999999999432,220,30.1,4.2,43.5,80.30000000000001,20.1,22.900000000000002,76.5
Chambers05,-117.75,41.54,33,9.550000000000011,12.100000000000001,0.3059999942779541,950.4000000000001,31.250000000000057,-8.349999999999966,39.6,-8.349999999999966,21.55000000000001,22.05000000000001,-2.5499999999999545,286.7,38.1,5.9,42.300000000000004,99.4,25.700000000000003,32,93.30000000000001
Chambers06,-117.78,41.54,34,10.650000000000034,12.200000000000001,0.3069999933242798,947.6,32.35000000000002,-7.249999999999943,39.6,-7.249999999999943,22.650000000000034,23.150000000000034,-1.349999999999966,264.90000000000003,34.9,5.4,42.1,91.7,23.8,29.6,86.10000000000001
Chambers07,-116.19,43.94,35,10.650000000000034,12.9,0.33499999046325685,884.1,31.950000000000045,-6.5499999999999545,38.5,-6.5499999999999545,21.950000000000045,22.250000000000057,-0.44999999999998863,511.5,77.2,9.200000000000001,51,208.20000000000002,37.9,48.300000000000004,196.70000000000002
Chambers08,-114.57,42.24,36,9.450000000000045,11.600000000000001,0.3019999980926514,926.7,31.55000000000001,-6.949999999999989,38.5,-6.949999999999989,21.350000000000023,21.750000000000057,-2.249999999999943,290.5,41.1,11.5,36,105.10000000000001,40.2,53.800000000000004,69.7
Chambers09,-116.73,40.66,37,11.250000000000057,12.5,0.3029999971389771,993.7,33.05000000000001,-8.149999999999977,41.2,-8.149999999999977,23.750000000000057,24.350000000000023,-1.4499999999999886,262.1,37.300000000000004,6,41.7,92.5,26.3,29.700000000000003,80.80000000000001
Copeland01,-117.33,43.7,38,10.950000000000045,11.100000000000001,0.29300000667572024,927.5,32.150000000000034,-5.749999999999943,37.9,-5.749999999999943,22.55000000000001,23.05000000000001,-0.9499999999999886,274,35.9,9.5,36.4,88.5,32.1,46,82.2
Copeland05,-118.71,42.27,39,9.850000000000023,11.9,0.31800000667572026,895.4000000000001,30.950000000000045,-6.5499999999999545,37.5,-6.5499999999999545,21.350000000000023,21.650000000000034,-1.349999999999966,229.3,28.700000000000003,5.7,37.9,76.2,24.3,30.200000000000003,71.3
Copeland09,-119.68,43.47,40,8.550000000000011,12.100000000000001,0.3380000114440918,826,29.350000000000023,-6.349999999999966,35.7,-6.349999999999966,19.250000000000057,19.55000000000001,-1.6499999999999773,299.90000000000003,38.6,11.600000000000001,34.1,101.60000000000001,39.2,46.5,89
