block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
7,hi,white,7,9,26,0.06,0.06,1,NA,NA,NA,NA,NA,NA,Boise2022_6669,WI,63,130,Y,FP
7,hi,white,8,3,23,0.06,0.06,1,NA,NA,NA,NA,NA,NA,Boise2022_6673,WI,42,147,Y,FP
7,hi,white,8,4,17,0.01,0.06,2,NA,NA,NA,NA,NA,NA,Boise2022_6674,WI,7,153,Y,FG
7,hi,white,8,5,28,0.07,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6675,WI,70,130,Y,FG
7,hi,white,8,6,32,0.09,0.06,1,NA,NA,NA,NA,NA,NA,Boise2022_6676,WI,47,153,Y,FB
7,hi,white,8,8,72,0.23,0.14,1,NA,NA,NA,NA,NA,NA,Boise2022_6678,WI,29,130,Y,FG
7,hi,white,8,9,43,0.1,0.05,1,NA,NA,NA,NA,NA,NA,Boise2022_6679,WI,77,130,Y,FG
7,hi,white,9,10,54,0.14,0.1,1,NA,NA,NA,NA,NA,NA,Boise2022_6690,WI,73,130,Y,FP
7,hi,white,9,2,70,0.07,0.09,1,NA,NA,NA,NA,NA,NA,Boise2022_6682,WI,95,130,Y,FP
7,hi,white,9,3,54,0.13,0.07,1,NA,NA,NA,NA,NA,NA,Boise2022_6683,WI,46,130,Y,FG
7,hi,white,9,4,21,0.04,0.04,1,NA,NA,NA,NA,NA,NA,Boise2022_6684,WI,82,147,Y,FP
7,hi,white,9,6,123,0.32,0.18,3,NA,NA,NA,NA,NA,NA,Boise2022_6686,WI,83,130,Y,FG
7,hi,white,9,7,61,0.17,0.09,1,NA,NA,NA,NA,NA,NA,Boise2022_6687,WI,55,130,Y,FG
7,hi,white,9,8,71,0.2,0.12,3,NA,NA,NA,NA,NA,NA,Boise2022_6688,WI,18,130,Y,FG
7,hi,white,9,9,16,0.04,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6689,WI,44,130,Y,FP
7,lo,white,1,2,2,0.002,0.01,1,NA,NA,NA,NA,NA,NA,Boise2022_6702,WI,47,154,Y,FG
7,lo,white,1,3,122,0.22,0.24,5,NA,NA,NA,NA,NA,NA,Boise2022_6703,WI,63,154,Y,FG
7,lo,white,1,4,100,0.22,0.11,2,NA,NA,NA,NA,NA,NA,Boise2022_6704,WI,30,130,Y,FG
7,lo,white,10,5,211,0.97,0.47,4,NA,NA,NA,NA,NA,NA,Boise2022_6750,WI,62,130,Y,FG
7,lo,white,11,1,94,0.17,0.18,4,NA,NA,NA,NA,NA,NA,Boise2022_6751,WI,28,154,Y,FG
7,lo,white,11,4,164,0.36,0.55,5,NA,NA,NA,NA,NA,NA,Boise2022_6754,WI,102,154,Y,FG
7,lo,white,11,5,298,0.34,0.42,6,NA,NA,NA,NA,NA,NA,Boise2022_6755,WI,16,154,Y,FG
7,lo,white,12,1,33,0.04,0.05,1,NA,NA,NA,NA,NA,NA,Boise2022_6756,WI,39,154,Y,FG
7,lo,white,12,5,292,0.35,0.26,3,NA,NA,NA,NA,NA,NA,Boise2022_6760,WI,25,154,Y,FB
7,lo,white,13,1,136,0.16,0.22,3,NA,NA,NA,NA,NA,NA,Boise2022_6761,WI,7,154,Y,FG
7,lo,white,13,4,290,0.29,0.28,3,NA,NA,NA,NA,NA,NA,Boise2022_6764,WI,26,154,Y,FG
7,lo,white,13,5,165,0.33,0.3,3,NA,NA,NA,NA,NA,NA,Boise2022_6765,WI,58,154,Y,FG
7,lo,white,14,5,150,0.3,0.17,4,NA,NA,NA,NA,NA,NA,Boise2022_6770,WI,32,130,Y,FG
7,lo,white,16,5,24,0.02,0.08,1,NA,NA,NA,NA,NA,NA,Boise2022_6780,WI,20,154,Y,FG
7,lo,white,17,2,115,0.23,0.14,4,NA,NA,NA,NA,NA,NA,Boise2022_6782,WI,43,130,Y,FG
7,lo,white,17,3,54,0.06,0.07,1,NA,NA,NA,NA,NA,NA,Boise2022_6783,WI,57,154,Y,FG
7,lo,white,17,5,7,0.004,0.07,1,NA,NA,NA,NA,NA,NA,Boise2022_6785,WI,71,154,Y,FG
7,lo,white,18,3,6,0.01,0.01,1,NA,NA,NA,NA,NA,NA,Boise2022_6788,WI,104,154,Y,FP
7,lo,white,18,5,95,0.19,0.25,3,NA,NA,NA,NA,NA,NA,Boise2022_6790,WI,103,154,Y,FG
7,lo,white,19,1,94,0.17,0.12,2,NA,NA,NA,NA,NA,NA,Boise2022_6791,WI,54,154,Y,FG
7,lo,white,19,3,37,0.05,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6793,WI,12,154,Y,FG
7,lo,white,19,4,100,0.12,0.15,2,NA,NA,NA,NA,NA,NA,Boise2022_6794,WI,66,154,Y,FG
7,lo,white,19,5,9,0.01,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6795,WI,37,154,Y,FB
7,lo,white,2,4,283,0.68,0.31,4,NA,NA,NA,NA,NA,NA,Boise2022_6709,WI,34,130,Y,FG
7,lo,white,20,1,62,0.1,0.08,1,NA,NA,NA,NA,NA,NA,Boise2022_6796,WI,76,154,Y,FG
7,lo,white,20,5,23,0.06,0.08,1,NA,NA,NA,NA,NA,NA,Boise2022_6800,WI,56,154,Y,FG
7,lo,white,3,1,372,0.67,0.67,5,NA,NA,NA,NA,NA,NA,Boise2022_6711,WI,19,154,Y,FP
7,lo,white,3,2,230,0.46,0.4,4,NA,NA,NA,NA,NA,NA,Boise2022_6712,WI,90,154,Y,FG
7,lo,white,3,4,172,0.31,0.27,4,NA,NA,NA,NA,NA,NA,Boise2022_6714,WI,91,154,Y,FG
7,lo,white,3,5,229,0.64,0.28,4,NA,NA,NA,NA,NA,NA,Boise2022_6715,WI,64,109,Y,FP
7,lo,white,4,1,208,0.54,0.33,4,NA,NA,NA,NA,NA,NA,Boise2022_6716,WI,46,154,Y,FP
7,lo,white,4,5,128,0.23,0.19,3,NA,NA,NA,NA,NA,NA,Boise2022_6720,WI,40,154,Y,FG
7,lo,white,5,2,94,0.17,0.2,3,NA,NA,NA,NA,NA,NA,Boise2022_6722,WI,11,154,Y,FP
7,lo,white,5,3,94,0.15,0.19,2,NA,NA,NA,NA,NA,NA,Boise2022_6723,WI,57,130,Y,FG
7,lo,white,5,5,320,0.32,0.4,5,NA,NA,NA,NA,NA,NA,Boise2022_6725,WI,89,154,Y,FG
7,lo,white,6,1,125,0.2,0.25,2,NA,NA,NA,NA,NA,NA,Boise2022_6726,WI,58,154,Y,FG
7,lo,white,6,3,356,1.14,0.87,8,NA,NA,NA,NA,NA,NA,Boise2022_6728,WI,65,130,Y,FG
7,lo,white,6,4,78,0.14,0.16,2,NA,NA,NA,NA,NA,NA,Boise2022_6729,WI,45,154,Y,FG
7,lo,white,6,5,94,0.32,0.13,2,NA,NA,NA,NA,NA,NA,Boise2022_6730,WI,29,130,Y,FG
7,lo,white,7,1,525,1.05,0.85,5,NA,NA,NA,NA,NA,NA,Boise2022_6731,WI,59,130,Y,FG
7,lo,white,7,4,91,0.4,0.16,4,NA,NA,NA,NA,NA,NA,Boise2022_6734,WI,101,147,Y,FP
