"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_1868","CH",2023,6,4,12,2,151,2022,"low","white"
"CH_2023_1884","CH",2023,6,4,12,3,79,2020,"low","white"
"CH_2023_1900","CH",2023,6,4,12,4,73,2020,"low","white"
"CH_2023_1916","CH",2023,6,4,12,5,84,2020,"low","white"
"CH_2023_1853","CH",2023,6,4,13,1,38,2021,"low","white"
"CH_2023_1869","CH",2023,6,4,13,2,89,2020,"low","white"
"CH_2023_1885","CH",2023,6,4,13,3,88,2021,"low","white"
"CH_2023_1901","CH",2023,6,4,13,4,14,2020,"low","white"
"CH_2023_1917","CH",2023,6,4,13,5,1,2020,"low","white"
"CH_2023_1854","CH",2023,6,4,14,1,59,2020,"low","white"
"CH_2023_1870","CH",2023,6,4,14,2,101,2020,"low","white"
"CH_2023_1886","CH",2023,6,4,14,3,95,2020,"low","white"
"CH_2023_1902","CH",2023,6,4,14,4,30,2020,"low","white"
"CH_2023_1918","CH",2023,6,4,14,5,93,2021,"low","white"
"CH_2023_1855","CH",2023,6,4,15,1,44,2020,"low","white"
"CH_2023_1871","CH",2023,6,4,15,2,71,2020,"low","white"
"CH_2023_1887","CH",2023,6,4,15,3,18,2020,"low","white"
"CH_2023_1903","CH",2023,6,4,15,4,57,2020,"low","white"
"CH_2023_1919","CH",2023,6,4,15,5,28,2020,"low","white"
"CH_2023_1856","CH",2023,6,4,16,1,86,2020,"low","white"
"CH_2023_1872","CH",2023,6,4,16,2,93,2021,"low","white"
"CH_2023_1888","CH",2023,6,4,16,3,64,2020,"low","white"
"CH_2023_1904","CH",2023,6,4,16,4,54,2020,"low","white"
"CH_2023_1920","CH",2023,6,4,16,5,56,2020,"low","white"
"CH_2023_1842","CH",2023,6,4,2,1,45,2020,"low","white"
"CH_2023_1858","CH",2023,6,4,2,2,7,2020,"low","white"
"CH_2023_1874","CH",2023,6,4,2,3,47,2020,"low","white"
"CH_2023_1890","CH",2023,6,4,2,4,98,2020,"low","white"
"CH_2023_1906","CH",2023,6,4,2,5,103,2020,"low","white"
"CH_2023_1843","CH",2023,6,4,3,1,104,2020,"low","white"
"CH_2023_1859","CH",2023,6,4,3,2,43,2020,"low","white"
"CH_2023_1875","CH",2023,6,4,3,3,11,2020,"low","white"
"CH_2023_1891","CH",2023,6,4,3,4,49,2020,"low","white"
"CH_2023_1907","CH",2023,6,4,3,5,36,2020,"low","white"
"CH_2023_1844","CH",2023,6,4,4,1,87,2021,"low","white"
"CH_2023_1860","CH",2023,6,4,4,2,9,2020,"low","white"
"CH_2023_1876","CH",2023,6,4,4,3,37,2020,"low","white"
"CH_2023_1892","CH",2023,6,4,4,4,92,2020,"low","white"
"CH_2023_1908","CH",2023,6,4,4,5,39,2020,"low","white"
"CH_2023_1845","CH",2023,6,4,5,1,25,2020,"low","white"
"CH_2023_1861","CH",2023,6,4,5,2,74,2020,"low","white"
"CH_2023_1877","CH",2023,6,4,5,3,82,2020,"low","white"
"CH_2023_1893","CH",2023,6,4,5,4,77,2020,"low","white"
"CH_2023_1909","CH",2023,6,4,5,5,62,2020,"low","white"
"CH_2023_1846","CH",2023,6,4,6,1,100,2020,"low","white"
"CH_2023_1862","CH",2023,6,4,6,2,55,2020,"low","white"
"CH_2023_1878","CH",2023,6,4,6,3,33,2020,"low","white"
"CH_2023_1894","CH",2023,6,4,6,4,34,2020,"low","white"
"CH_2023_1910","CH",2023,6,4,6,5,81,2020,"low","white"
"CH_2023_1847","CH",2023,6,4,7,1,76,2020,"low","white"
"CH_2023_1863","CH",2023,6,4,7,2,35,2020,"low","white"
"CH_2023_1879","CH",2023,6,4,7,3,2,2020,"low","white"
"CH_2023_1895","CH",2023,6,4,7,4,52,2020,"low","white"
"CH_2023_1911","CH",2023,6,4,7,5,61,2020,"low","white"
"CH_2023_1848","CH",2023,6,4,8,1,5,2020,"low","white"
"CH_2023_1864","CH",2023,6,4,8,2,90,2020,"low","white"
"CH_2023_1880","CH",2023,6,4,8,3,8,2020,"low","white"
"CH_2023_1896","CH",2023,6,4,8,4,12,2020,"low","white"
"CH_2023_1912","CH",2023,6,4,8,5,32,2020,"low","white"
"CH_2023_1849","CH",2023,6,4,9,1,31,2020,"low","white"
"CH_2023_1865","CH",2023,6,4,9,2,29,2020,"low","white"
"CH_2023_1881","CH",2023,6,4,9,3,91,2020,"low","white"
"CH_2023_1897","CH",2023,6,4,9,4,42,2021,"low","white"
"CH_2023_1913","CH",2023,6,4,9,5,58,2020,"low","white"
"CH_2023_1921","CH",2023,7,1,1,1,28,2020,"high","black"
"CH_2023_1993","CH",2023,7,1,1,10,151,2022,"high","black"
"CH_2023_1929","CH",2023,7,1,1,2,37,2020,"high","black"
"CH_2023_1937","CH",2023,7,1,1,3,47,2020,"high","black"
"CH_2023_1945","CH",2023,7,1,1,4,84,2020,"high","black"
"CH_2023_1953","CH",2023,7,1,1,5,24,2020,"high","black"
"CH_2023_1961","CH",2023,7,1,1,6,35,2020,"high","black"
"CH_2023_1969","CH",2023,7,1,1,7,25,2020,"high","black"
"CH_2023_1977","CH",2023,7,1,1,8,32,2020,"high","black"
"CH_2023_1985","CH",2023,7,1,1,9,100,2020,"high","black"
"CH_2023_1922","CH",2023,7,1,2,1,91,2020,"high","black"
