PopNum,NewSiteCode,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN,DaysToFlower,InflorescenceHeight_cm,InflorescenceN,DryBiomass_mg,seedM_mg,seedN,seed1M_mg,,
183,Porensky1,14.64718659,8.010498723,10.4009194,64.06020172,200.572649,16.63600333,1.708123098,573.1807407,138.3376947,43.66540907,2.634999997,,
184,Porensky12,12.6272457,5.635603124,8.517009173,81.07659149,209.7866743,24.23738973,3.97401775,991.2211858,194.9499398,103.8183437,1.940000007,,
185,Porensky17,19.50561458,12.88490543,8.06054382,47.1264357,189.0086228,41.97808723,3.536330061,1126.86297,520.7778302,251.7206258,2.099999997,,
186,Porensky30,15.76057903,9.768936458,6.517009173,47.07659149,228.2486758,28.02783817,1.822608645,686.4878525,203.981949,67.19898324,3.175000007,,
187,Pyke21,15.72556441,8.340664096,9.593187498,56.90477713,170.5789289,41.43929677,2.56536904,715.645297,182.3659398,52.44010654,3.425000033,,
188,Pyke3,16.40498604,7.080731797,6.824764453,21.85201889,129.5940943,31.59425362,3.467285199,666.6850395,403.548316,148.3055781,2.779999952,,
189,Pyke8,15.36781621,5.119278618,7.317336612,40.57766315,190.988028,40.23135566,3.089689903,661.9796297,294.041953,123.2481282,2.519999912,,
190,Pyle1,20.67317377,13.52142798,9.30789769,47.7982395,164.9027207,28.02854042,3.59469969,1019.399835,261.0495773,108.079029,2.325000063,,
191,Pyle9,12.92358758,5.18539656,8.843578562,79.15579849,220.5914253,11.18111888,1.317710742,536.171353,120.1095774,41.45302208,2.664999997,,
192,Pyle10,22.3119936,14.43764641,6.976433832,36.53482462,191.852025,43.61863205,3.092972251,1143.836132,288.8157222,109.9375996,2.645000007,,
194,Pyle15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
195,Pyle17,17.94583811,11.25233369,7.542359718,45.22367747,NA,NA,NA,784.9164057,NA,NA,NA,,
196,Pyle19,18.10759141,11.9735063,6.143486088,35.20874767,157.2273983,35.59028059,4.965441175,657.9571042,323.7566431,147.1650742,2.274999952,,
197,Reed1,14.37053711,5.955146374,3.559796013,7.065259073,119.4994901,39.36734619,2.379061243,441.8827684,667.0959727,241.7645339,2.760000023,,
198,Reed3,15.23432265,9.131702436,6.54331484,53.68540273,159.1834899,26.53994819,3.378944658,700.5852032,210.0980418,99.12482277,1.91,,
200,Schupp1,13.46289541,6.372413785,5.974320373,35.55946591,198.3906174,40.44005086,1.00801979,537.9836176,163.2134084,92.43773618,1.885000063,,
201,Schupp2,16.50555173,9.116752068,5.816951022,31.9037401,194.6126546,41.12637379,3.217220979,1026.025324,328.9159707,101.0816588,3.305000007,,
202,Schupp3,18.17228125,11.85157209,7.06054382,31.45976904,152.0086228,35.97808723,4.869663394,766.4629702,658.8739,287.7996791,2.309999997,,
203,Schupp4,17.97866026,11.70431308,5.643100498,33.53482462,181.852025,36.11863205,1.759638917,875.7027983,251.6162295,108.8713706,2.310000007,,
204,Schupp5,19.07119694,12.69949377,6.558288754,24.3825942,152.3506118,42.4496804,3.498921909,954.0723678,455.623048,204.6840763,2.150000001,,
205,Shriver2,16.10006523,9.00053363,9.481748213,80.16715498,168.6633503,35.03628216,4.052281752,852.3031601,149.1567454,105.8426337,1.470000063,,
206,Symstad1,14.90374654,8.627962017,6.258899042,46.10971853,185.7486758,37.52783817,3.322608645,728.2764995,569.2077241,212.916272,2.715000007,,
207,Symstad2,14.48241096,8.570926162,7.628220948,70.40339368,198.8338271,36.84989388,3.371960232,676.5365291,341.496312,88.04407175,3.065000023,,
208,Symstad3,15.40453027,9.099493773,6.224955421,40.71592753,240.3506118,16.11634707,0.832255242,704.4292479,67.60769023,19.13260116,2.867000001,,
209,Symstad4,14.34718659,9.343832056,7.734252737,55.39353506,189.2393157,29.46933666,3.374789765,624.7807407,272.4794917,107.13181,2.420000001,,
211,Symstad6,12.77809457,6.068292809,9.317580596,64.4831034,211.1008578,25.27926905,2.704460135,529.6625139,288.2665944,137.419686,1.985,,
212,Urza1,14.30206525,5.933022989,3.6684107,10.93790417,124.0597697,45.49700302,3.713870141,378.7672774,231.5494025,91.09713311,2.465000023,,
213,Urza2,13.56359018,5.20487809,6.933336008,55.40919683,180.9713211,40.99927742,2.694503905,457.4583431,218.6996737,64.99209978,3.304999997,,
216,Wilcox2,15.55692091,9.118729894,7.176911896,53.15579849,201.5914253,25.43111888,2.817710742,538.6844964,426.8238177,146.6119606,2.839999997,,
218,Chynoweth1,20.27257679,12.87856727,4.219664413,27.37026664,157.7809005,36.66458632,2.127281438,744.4812154,343.9818945,160.9035886,2.129999952,,
219,Chynoweth2,18.80114955,12.81927862,6.984003279,45.24432982,205.3213613,38.39802232,4.089689903,955.812963,131.9880029,62.29445896,2.415000007,,
220,Chynoweth3,17.05797366,10.24282862,7.864954205,65.38652937,198.1533702,29.84136277,4.475861774,690.0157878,206.7602486,76.0099565,2.784999912,,
221,Chynoweth5,16.24415682,9.090727995,6.285204709,32.38519644,176.5697498,29.72525575,0.956956785,453.7071836,117.1829936,36.05719169,2.965000023,,
222,Chynoweth7,15.97726922,8.70944793,5.893146257,34.20801968,161.7471069,34.2998508,1.669732317,676.6609281,305.250346,128.6166834,2.389999972,,
223,Chynoweth8,17.66014908,9.187881142,8.217592804,53.64953564,192.8788745,35.24552879,1.705188767,792.4894033,262.4218325,91.56555245,2.834999972,,
224,GerminoBOP1,19.79233093,13.32479182,5.892418208,24.17564073,155.1776846,40.50017091,3.048579673,980.2301884,235.7745561,91.44223744,2.465000085,,
