SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
GreenCanyon,E,removal,6.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,8,0.017,0.009,N,2,0,
GreenCanyon,E,removal,6.4,9/14/2021,10/29/2021,NA,NA,6/22/2022,NA,NA,,,,,,Was Bromus japonicus; data point thrown out
GreenCanyon,E,removal,6.6,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,6.8,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,7,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,2,0.004,0.002,Y,1,0,
Woodruff,S,control,0.2,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,0.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.010,0.004,N,3,0,
Woodruff,S,control,0.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.009,0.008,N,0,0,
Woodruff,S,control,0.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,1,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,1.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,6,0.010,0.011,N,0,0,
Woodruff,S,control,1.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,1,0.003,0.001,N,0,0,
Woodruff,S,control,1.6,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,1.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,2.2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,2.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,2,0.005,0.002,N,1,0,
Woodruff,S,control,2.6,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,2.8,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.012,0.005,N,1,0,
Woodruff,S,control,3,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,1,0.010,0.001,Y,1,0,
