PopNum,tray,SeedlingHeight_cm,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN
180,12,7.7,24,16.3,6,25
181,3,5,28.6,23.6,6,30
181,8,3.6,12.5,8.9,3,23
181,12,5,21,16,6,40
182,2,5.8,12.3,6.5,11,106
182,8,7,7,0,7,65
182,13,8.6,9.6,1,8,80
183,1,6,12.4,6.4,12,91
183,6,5.3,14,8.7,5,30
183,13,7.8,12,4.2,15,85
184,4,6.6,14.5,7.9,9,90
184,7,5.9,13.8,7.9,9,90
184,12,8.4,13.5,5.1,7,60
185,4,9.3,20,10.7,6,36
185,6,5.6,20,14.4,8,35
185,11,6,21.5,15.5,7,50
186,4,7.5,19,11.5,5,38
186,7,5.1,16.2,11.1,8,55
186,12,5.3,16,10.7,6,45
187,2,7.1,14.8,7.7,13,76
187,7,6,19,13,13,65
187,12,8.8,12,3.2,5,45
188,1,9.8,10.2,0.4,7,29
188,8,8.5,10,1.5,5,12
188,11,10.2,26.5,16.3,7,21
189,4,11.2,20.5,9.3,6,35
189,8,9,16.5,7.5,5,35
189,11,11.7,11.7,0,8,35
190,1,5.8,18.7,12.9,9,37
190,7,7.5,18.3,10.8,13,75
190,14,6.1,23,16.9,7,38
191,2,7.7,11.8,4.1,9,99
191,6,7.1,11.5,4.4,9,100
191,12,8.1,12,3.9,8,42
192,4,7.5,26,18.5,7,32
192,7,7,23.3,16.3,7,35
192,13,9,19.3,10.3,9,55
195,4,7.5,19.5,12,8,28
195,9,7.2,21.1,13.9,6,60
195,14,5,18.5,13.5,7,39
196,4,6.6,17,10.4,7,32
196,7,5.9,20.9,15,5,35
196,11,7,21.5,14.5,6,30
197,2,8.7,11.7,3,5,16
197,8,8.8,13,4.2,3,13
197,13,7.5,12.3,4.8,5,15
198,2,5.5,9.5,4,8,68
198,7,5.5,20.5,15,10,60
198,14,5.7,13.5,7.8,4,45
200,4,6.5,15.5,9,5,28
200,8,7.1,11.5,4.4,4,24
200,14,6.3,14,7.7,6,40
201,4,7,22,15,5,30
201,8,7.1,13.5,6.4,5,30
201,13,8,13.2,5.2,7,40
202,4,5.5,15.5,10,4,15
202,6,5,21.5,16.5,7,30
202,11,9.5,20.5,11,7,29
203,4,5.5,16,10.5,5,28
203,7,8.2,17,8.8,6,35
203,13,5,22.6,17.6,8,50
204,1,6,16.1,10.1,6,19
204,6,6,18,12,3,14
204,14,5,19,14,9,35
205,1,7.5,12.3,4.8,11,74
205,8,5.7,17.5,11.8,6,100
205,14,6.1,14,7.9,10,65
206,4,6.6,18,11.4,4,33
206,9,7.1,15.8,8.7,7,50
206,12,6.1,17,10.9,6,50
207,2,6.7,10.5,3.8,13,109
207,9,5.5,19.9,14.4,6,70
207,11,7.5,15,7.5,5,40
208,1,5.8,11.6,5.8,6,40
208,6,5.4,17.5,12.1,6,45
208,14,5.6,13,7.4,5,32
209,1,2.2,13.2,11,8,50
209,6,5.5,15,9.5,6,40
209,13,6.5,9.3,2.8,10,90
211,1,5.7,11.5,5.8,12,105
211,7,7.8,15.8,8,10,65
211,11,7.1,11,3.9,7,28
212,2,8.5,12.1,3.6,4,8
212,9,8,16.6,8.6,5,15
212,12,9.4,15,5.6,3,23
213,3,9.8,17.7,7.9,7,55
213,6,6.9,13.5,6.6,4,30
213,12,9,11.5,2.5,8,70
216,2,6.5,10.9,4.4,10,83
216,6,5.2,12.3,7.1,3,20
216,12,7.3,20,12.7,8,60
218,2,7.6,18.5,10.9,7,43
218,7,6.9,22.1,15.2,5,30
218,11,8.6,20,11.4,3,19
219,4,6.5,22,15.5,6,35
219,8,6.5,20,13.5,5,45
219,11,6.1,17,10.9,7,39
220,1,7,17,10,10,105
220,8,6.5,15,8.5,5,33
220,12,6.3,15.5,9.2,7,60
221,2,7.9,12.5,4.6,7,34
